xmin xmax ymin ymax
1708 1766 241 361
1248 1305 22 74
1512 1616 96 213
1420 1467 48 113
1549 1768 281 706
1232 1310 45 206
1049 1130 1 106
1364 1466 144 427
1385 1462 31 132
1328 1384 23 85
1253 1303 14 61
1503 1588 85 257
1559 1757 282 706
1238 1314 46 223
1026 1092 1 87
1373 1458 202 415
1485 1594 93 253
1250 1318 10 124
1356 1509 145 388
1478 1589 88 338
1218 1304 33 258
1251 1319 11 108
1341 1437 7 122
1641 1770 207 476
1351 1483 172 472
1630 1761 211 464
1469 1579 81 254
1143 1216 44 164
1193 1259 1 63
1340 1497 166 475
1631 1766 225 467
1104 1231 36 167
1413 1474 26 133
1489 1579 90 320
476 746 546 1056
1371 1549 181 474
1136 1208 42 170
801 866 1 104
1166 1266 44 177
906 979 1 126
1628 1702 184 466
812 1072 227 893
1260 1397 93 364
1184 1282 47 179
1478 1571 107 258
810 873 1 114
868 928 1 124
1190 1481 254 841
1395 1536 175 462
1480 1560 102 215
1127 1198 34 169
1154 1211 1 48
1575 1811 261 716
1385 1532 179 436
1181 1303 50 213
1451 1549 86 208
1142 1198 5 71
1190 1249 1 57
1085 1153 1 64
817 1131 459 1056
837 1065 243 655
1567 1772 254 710
1396 1547 175 418
1165 1278 47 182
925 973 1 98
1154 1224 1 57
1212 1258 1 51
1565 1779 250 702
821 975 116 587
757 876 68 436
1363 1497 172 447
1164 1272 45 177
919 967 1 100
1172 1218 2 44
1593 1788 263 690
1388 1535 166 463
1165 1276 49 179
1169 1276 49 173
1690 1846 266 577
932 997 1 35
1231 1308 101 254
1125 1195 43 151
841 894 1 100
1670 1821 235 529
1376 1513 160 473
1680 1816 267 570
1122 1199 39 151
755 991 159 703
1118 1196 34 167
1662 1795 234 543
755 973 182 712
1124 1198 43 159
1593 1691 151 292
745 918 171 689
1123 1197 36 154
1354 1439 1 126
927 989 1 123
405 659 653 1049
877 1018 31 344
1387 1531 177 475
746 876 89 412
1176 1253 44 168
1250 1314 20 161
1192 1264 5 57
34 349 465 965
1365 1505 163 463
1496 1572 96 255
1139 1222 47 163
136 379 471 931
1408 1548 151 467
1489 1584 89 251
1149 1238 39 170
999 1057 1 49
179 442 446 989
1425 1551 158 387
1495 1560 96 233
1126 1195 42 156
820 884 1 116
174 451 440 986
1380 1515 146 455
1502 1575 95 305
1129 1205 42 155
176 447 485 1008
1343 1444 141 467
1497 1606 103 273
1129 1202 42 161
226 465 428 964
1363 1492 151 464
1 96 621 847
1133 1217 43 155
12 349 534 966
1371 1510 151 472
1127 1218 34 171
1 110 514 843
1 323 568 955
1355 1485 145 478
1234 1320 1 163
1132 1214 41 167
1 276 515 951
1342 1463 151 473
885 988 1 258
1119 1202 35 144
808 980 174 590
1715 1908 359 683
1388 1533 170 491
1651 1775 384 589
1239 1311 48 256
1099 1174 1 119
981 1140 185 632
936 1077 96 297
1732 1828 259 445
1270 1327 29 123
810 954 157 556
1746 1919 350 687
1374 1521 167 470
1686 1868 275 578
1227 1303 47 256
1237 1299 1 87
1276 1323 35 120
861 937 1 166
1670 1839 290 612
1383 1544 170 472
883 983 10 267
1139 1250 34 172
1588 1708 184 307
1486 1596 103 256
1221 1306 2 156
1667 1744 344 492
1014 1118 1 108
1316 1411 1 116
895 1057 109 492
1345 1475 171 475
1211 1308 52 205
1495 1600 108 247
1064 1151 1 122
1223 1308 5 114
1629 1705 193 459
1489 1564 96 261
1603 1791 330 713
1416 1557 181 400
